,id,title,genres,Unnamed: 0,rating
0,5be08164-0a6c-11ed-98c8-4129adfcc95f,Toy Story ,Adventure|Animation|Children|Comedy|Fantasy,107.0,3.9209302325581397
1,5be081fa-0a6c-11ed-98c8-4129adfcc95f,Jumanji ,Adventure|Children|Fantasy,27204.5,3.4318181818181817
2,5be08240-0a6c-11ed-98c8-4129adfcc95f,Grumpier Old Men ,Comedy|Romance,240.5,3.2596153846153846
3,5be08272-0a6c-11ed-98c8-4129adfcc95f,Waiting to Exhale ,Comedy|Drama|Romance,27263.0,2.357142857142857
4,5be0829a-0a6c-11ed-98c8-4129adfcc95f,Father of the Bride Part II ,Comedy,27291.0,3.0714285714285716
5,5be082c2-0a6c-11ed-98c8-4129adfcc95f,Heat ,Action|Crime|Thriller,317.5,3.946078431372549
6,5be082ea-0a6c-11ed-98c8-4129adfcc95f,Sabrina ,Comedy|Romance,27342.5,3.185185185185185
7,5be08312-0a6c-11ed-98c8-4129adfcc95f,Tom and Huck ,Adventure|Children,27373.5,2.875
8,5be0833a-0a6c-11ed-98c8-4129adfcc95f,Sudden Death ,Action,91109.5,3.125
9,5be08362-0a6c-11ed-98c8-4129adfcc95f,GoldenEye ,Action|Adventure|Thriller,27443.5,3.496212121212121
10,5be0838a-0a6c-11ed-98c8-4129adfcc95f,"American President, The ",Comedy|Drama|Romance,27544.5,3.6714285714285713
11,5be083b2-0a6c-11ed-98c8-4129adfcc95f,Dracula: Dead and Loving It ,Comedy|Horror,57587.0,2.4210526315789473
12,5be083da-0a6c-11ed-98c8-4129adfcc95f,Balto ,Adventure|Animation|Children,27583.5,3.125
13,5be08402-0a6c-11ed-98c8-4129adfcc95f,Nixon ,Drama,86015.5,3.8333333333333335
14,5be08420-0a6c-11ed-98c8-4129adfcc95f,Cutthroat Island ,Action|Adventure|Romance,27594.0,3.0
15,5be08448-0a6c-11ed-98c8-4129adfcc95f,Casino ,Crime|Drama,27641.5,3.926829268292683
16,5be08470-0a6c-11ed-98c8-4129adfcc95f,Sense and Sensibility ,Drama|Romance,27716.0,3.7761194029850746
17,5be08498-0a6c-11ed-98c8-4129adfcc95f,Four Rooms ,Comedy,77390.5,3.7
18,5be084b6-0a6c-11ed-98c8-4129adfcc95f,Ace Ventura: When Nature Calls ,Comedy,27793.5,2.727272727272727
19,5be084de-0a6c-11ed-98c8-4129adfcc95f,Money Train ,Action|Comedy|Crime|Drama|Thriller,85507.0,2.5
20,5be08506-0a6c-11ed-98c8-4129adfcc95f,Get Shorty ,Comedy|Crime|Thriller,18900.0,3.49438202247191
21,5be0852e-0a6c-11ed-98c8-4129adfcc95f,Copycat ,Crime|Drama|Horror|Mystery|Thriller,27855.5,3.2222222222222223
22,5be08560-0a6c-11ed-98c8-4129adfcc95f,Assassins ,Action|Crime|Thriller,71401.5,3.125
23,5be08588-0a6c-11ed-98c8-4129adfcc95f,Powder ,Drama|Sci-Fi,27887.5,3.125
24,5be085b0-0a6c-11ed-98c8-4129adfcc95f,Leaving Las Vegas ,Drama|Romance,27939.5,3.625
